review,Used it for,Owned for,Ridden for,rating,Visual Appeal,Reliability,Performance,Service Experience,Extra Features,Comfort,Maintenance cost,Value for Money,Model Name
"On a whole tork t6x will costs you around 1.36lakh including taxes and all. Which looks slightly higher price for a normal guy like me to think of buying it. But, when i see the specifications (electric, design,mobile & bike connectivity, cloud connectivity with the manufacturers,top speed,charging time,water resistant battery) , i feel it is worthy to give a chance of buying.When it comes to the range(100km) , we might not getting the 100km range while driving on different roads using different speeds as 100km range suggests 0-100 percent battery. So we can get around 70km range while riding which is slightly lesser i feel, which is why i gave 4 stars,if it is around 150km then it would be the best choice.Coming to the tubeless tyres,abs breaking technology sounds good.I don't know whether the battery is detachable or not.Because detachable battery nodes are easier to carry for charging.",Daily Commute,Never owned,,4,,,,,,,,,Tork Kratos
Must buy bike as it have capacity to run around 100 km and with lot of weight . So for daily need it's a comfortable bike to use in city and around city . Nothing else but enjoy. For gentle use and for mileage purpose it is a good choice as it can give only 10 paisa per km . It can neutralise burden of heavy petrol rate hike problem. Just go for it.,Daily Commute,Never owned,,5,5,5,5,5,,4,,,Tork Kratos
"Change from fuel to electric. Less maintenance ride. No fuel. No oil. New race on the road which is totally safe. & with safety & security in mobile phone.Very stylish it seem all in one package as sporty, eco friendly, very economical and perfect e-moto for e generation on roads.Last but not the least make in India.",Daily Commute,Never owned,,5,5,4,4,3,,3,,,Tork Kratos
I was called for a test ride and somehow got a chance to ride it but had a short ride. Though it was short but it was amazing. Unexpected pickup and unexpected performance coming from an electric bike. Was really shocked to ride it but amazed as well. Very good experience. Eagerly waiting to buy it.,Daily Commute,< 3 months,< 5000 kms,5,5,5,5,5,,5,,,Tork Kratos
"I am waiting for this bike since months. I have mailed the company about how to purchase, but could not get any reply. I don't know how few people reviewed this bike claims that they have owned this bike. I am desperately waiting for launch of this bike so that i could get rid of my petrol bike. Hope it is made available soon.",Everything,Never owned,,5,5,5,5,5,,5,,,Tork Kratos
"Its an amazing bike. It has fabulous look with great pickup and speed of around 100 kmph. Control of the bike is good, speedometer is accurate and not like other e-bikes who are using fake speedometer to fool their customers. I was riding on this bike and my friend was on discover 125 cc and i was able to win the race. Top speed of discover 125 cc is 90 kmph. Its so easy to charge and we and no need to kick start it just move the accelerator and bike starts running.",Daily Commute,> 1 yr,5000-10000 kms,4,4,4,4,5,,5,,,Tork Kratos
"I own bajaj discover 100t bike from last 6 years. Seeing today's petrol price, tork t6x is the best option. I have seen the full specification like look, performance, features, battery and power of this bike. Which looks good in each field. As electric bike, there will be no air pollution, no noise and pocket friendly. I am waiting for launch of this bike. So that i can replace my current bike.",Daily Commute,Never owned,,4,4,3,3,3,,4,,,Tork Kratos
"Hello, When i read about this bike i love to buy because of its super fine body and mileage. It's price is good and in this price you can not find any better bike than tork t6x one more important thing it run on electricity and it's mileage is very good and this bike is eco friendly and that's the most important part of it. It have awesome features like gps , anti thief system , low better indicator and many more. I hope you like my review. Thank you.",Daily Commute,Never owned,,5,5,4,4,4,,5,,,Tork Kratos
"I am waiting for this kind of vehicles should come more in the market.For looking wise it is too good , when come to performance we have to see & maintenance , it is also important that price of the product , by this more sales and adoption electric vehicles should increase in feature ,and charging stations in road ways is also a key point.",Daily Commute,Never owned,,4,5,,,,,,,,Tork Kratos
"I recently took a test ride of the kratos, and i am glad we finally can see torque motors coming out with the best electric motorcycle to ride. Kratos r has the potential to become the market leader in the electric bike segment. •this bike is for anyone and everyone, my wife really loved it. Its really the king of electric two-wheelers.",Everything,Never owned,,5,,,,,,,,,Tork Kratos
"I, my spouse and 20 year son took the test ride of kratos. Their ride was good riding experience. I had a little longer run. All of us found the ergonomics, styling, sitting posture very comfortable.. We found the team very knowledgeable & supportive. We drive a scooter & upgrade is sure and economical",Daily Commute,Never owned,,4,4,4,4,4,,4,,,Tork Kratos
I absolutely love the look of the bike. I like the design of the bike as well as a lot about the whole electric thing. One of the main characteristics of this bike is its speed of 105 km per hour. A new generation of electric bikes is here and it is called the torque motors kratos r.................,Everything,Never owned,,5,5,4,5,4,,4,,,Tork Kratos
"Glad to have a test ride of kratos r at west end mall pune, overall ride experience was amazing, bike is good in terms of styling, performance , ride and handling and comfort. Kratos r seems to have good potential to become market leader in ev segment.
booked one already. Eagerly waiting for delivery.",Daily Commute,Never owned,,5,4,4,5,5,,5,,,Tork Kratos
I need to buy tork but the showroom is only available in mumbai and delhi if the showroom in tamilnadu i will definitely buy tork and also refer the tork bike fore my friend who love green India and company should reduce bike price for the collage who are loving electric bike and bike suitable for officers who take long ride to reach his office.,Everything,Never owned,,5,5,4,5,5,,4,,,Tork Kratos
"I booked my ola s! and paid advance of 20k, waiting for test ride in a nearby city or at pollachi. I am impressed with specifications compare to other electric scooters. If i am correct initially ola claimed that batteries are removable, now understand it cannot be. Initially had some issues with the website but their customer support used to give call immediately and clarify doubts. Riding experience can be shared on having a test ride. Looks and performance looks to be good . Service and maintenance yet to be experienced. Pros - good rage for daily commuters, we support for a green world, good response from customer support. Cons: ola has not updated the test centers, delivery slot given to me is 1st to 31st dec,21. Have doubt by looking at the way it moves. No manual key is provided, all controls with smart phone. If I miss my smart phone what s the alternate. If other than me if my family members want to ride they should have app in their phone . Elderly person who has no knowledge on smart phone cannot use the vehicle. Some best solution to be suggested by ola",Occasional Commute,Never owned,,5,,,,,,,,,OLA S1
"They cheated customers by creating hype. It stops surely but no one attends for service. Please don’t buy.
Customer service, they never lift. Don’t expect a service person will visit.
They don’t respond to emails too.
After 10 days, I tried roadside assistance, and it worked.
My scooter is ola s1 pro. Still, they have sent back scooters but they ask only to use 50% of the battery. How a joke it is.
I have had Nexon ev since more than a year. Never got into any trouble.
But my decision is wrong with ola scooter.
In my opinion, it’s not a reliable company, it’s to cheat on either customers or investors.",Occasional Commute,3-6 months,< 5000 kms,1,3,1,1,1,1,,,,OLA S1
"Buying experience: the wait time was over and above the schedule and finally they made me visit their delivery point rather than delivering at the doorstep
Quality: post 300 km my vehicle stopped abruptly in the middle of the road while it was showing 35 km to cover and battery % came down to 0.
Service/maintenance: I have to push my vehicle to my home and raised a service request, ola took close to 5 days to tow my vehicle after I made several calls to their call center, on the service front. I have not got any update even after 10 days, I am following up with the ola call center daily and end up getting all false promises from the agents, I still haven't received my vehicle...It's really frustrating. I don't recommend this product as it is not mature enough to handle a better consumer experience.",Daily Commute,< 3 months,< 5000 kms,1,4,2,3,1,,,,,OLA S1
